2026-02-10 15:47:17.135 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.24K tokens (1242) | response=81 tokens | total=1.32K tokens (1323) | latency=4248ms
2026-02-10 15:51:44.407 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.18K tokens (2177) | response=36 tokens | total=2.21K tokens (2213) | latency=955ms
2026-02-10 15:55:48.293 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.24K tokens (1242) | response=81 tokens | total=1.32K tokens (1323) | latency=4371ms
2026-02-10 15:55:53.124 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.33K tokens (1332) | response=137 tokens | total=1.47K tokens (1469) | latency=1674ms
2026-02-10 15:55:56.991 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.47K tokens (1468) | response=42 tokens | total=1.51K tokens (1510) | latency=1105ms
2026-02-10 15:56:02.637 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.57K tokens (1569) | response=29 tokens | total=1.60K tokens (1598) | latency=1091ms
2026-02-10 15:56:05.342 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.63K tokens (1633) | response=135 tokens | total=1.77K tokens (1768) | latency=2699ms
2026-02-10 15:56:16.710 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.78K tokens (1775) | response=51 tokens | total=1.83K tokens (1826) | latency=1573ms
2026-02-10 15:56:20.335 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.86K tokens (1864) | response=131 tokens | total=2.00K tokens (1995) | latency=3543ms
2026-02-10 15:56:55.908 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.23K tokens (2231) | response=49 tokens | total=2.28K tokens (2280) | latency=5472ms
2026-02-10 15:57:35.680 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.59K tokens (2593) | response=166 tokens | total=2.76K tokens (2759) | latency=9656ms
2026-02-10 15:57:37.270 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.69K tokens (2686) | response=47 tokens | total=2.73K tokens (2733) | latency=1581ms
2026-02-10 15:57:38.442 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.78K tokens (2784) | response=47 tokens | total=2.83K tokens (2831) | latency=1158ms
2026-02-10 15:57:41.764 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.87K tokens (2873) | response=50 tokens | total=2.92K tokens (2923) | latency=1829ms
2026-02-10 15:57:42.970 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.99K tokens (2991) | response=38 tokens | total=3.03K tokens (3029) | latency=1180ms
2026-02-10 15:57:45.745 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=3.08K tokens (3082) | response=38 tokens | total=3.12K tokens (3120) | latency=2381ms
2026-02-10 15:58:01.537 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=3.17K tokens (3170) | response=190 tokens | total=3.36K tokens (3360) | latency=2661ms
2026-02-10 15:58:32.893 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=3.64K tokens (3640) | response=46 tokens | total=3.69K tokens (3686) | latency=1260ms
2026-02-10 15:58:34.059 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=3.73K tokens (3729) | response=36 tokens | total=3.77K tokens (3765) | latency=1102ms
2026-02-10 15:59:05.938 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=4.09K tokens (4087) | response=46 tokens | total=4.13K tokens (4133) | latency=1766ms
2026-02-10 15:59:19.431 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=4.45K tokens (4452) | response=58 tokens | total=4.51K tokens (4510) | latency=1162ms
2026-02-10 16:04:10.494 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.10K tokens (1098) | response=78 tokens | total=1.18K tokens (1176) | latency=4734ms
2026-02-10 16:04:15.773 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.19K tokens (1188) | response=143 tokens | total=1.33K tokens (1331) | latency=1872ms
2026-02-10 16:04:19.747 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.32K tokens (1318) | response=51 tokens | total=1.37K tokens (1369) | latency=1193ms
2026-02-10 16:04:27.754 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.42K tokens (1419) | response=29 tokens | total=1.45K tokens (1448) | latency=1314ms
2026-02-10 16:04:29.526 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.48K tokens (1484) | response=136 tokens | total=1.62K tokens (1620) | latency=1763ms
2026-02-10 16:04:40.993 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.62K tokens (1622) | response=102 tokens | total=1.72K tokens (1724) | latency=1217ms
2026-02-10 16:04:43.296 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1711) | response=153 tokens | total=1.86K tokens (1864) | latency=2252ms
2026-02-10 16:04:46.906 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.85K tokens (1849) | response=49 tokens | total=1.90K tokens (1898) | latency=976ms
2026-02-10 16:04:49.275 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.94K tokens (1938) | response=148 tokens | total=2.09K tokens (2086) | latency=1730ms
2026-02-10 16:04:51.187 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.06K tokens (2056) | response=39 tokens | total=2.10K tokens (2095) | latency=1884ms
2026-02-10 16:04:53.182 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.15K tokens (2146) | response=38 tokens | total=2.18K tokens (2184) | latency=1572ms
2026-02-10 16:05:03.237 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.24K tokens (2235) | response=21 tokens | total=2.26K tokens (2256) | latency=2313ms
2026-02-10 16:05:04.721 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.30K tokens (2299) | response=57 tokens | total=2.36K tokens (2356) | latency=1462ms
2026-02-10 16:05:37.685 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.67K tokens (2669) | response=138 tokens | total=2.81K tokens (2807) | latency=2816ms
2026-02-10 16:05:41.525 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.77K tokens (2768) | response=155 tokens | total=2.92K tokens (2923) | latency=3806ms
2026-02-10 16:08:40.720 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.15K tokens (1152) | response=79 tokens | total=1.23K tokens (1231) | latency=4008ms
2026-02-10 16:08:45.123 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.24K tokens (1241) | response=125 tokens | total=1.37K tokens (1366) | latency=1584ms
2026-02-10 16:08:51.419 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.38K tokens (1377) | response=148 tokens | total=1.53K tokens (1525) | latency=1790ms
2026-02-10 16:08:55.600 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.50K tokens (1501) | response=53 tokens | total=1.55K tokens (1554) | latency=1106ms
2026-02-10 16:08:57.359 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.57K tokens (1566) | response=131 tokens | total=1.70K tokens (1697) | latency=1748ms
2026-02-10 16:09:08.263 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1708) | response=111 tokens | total=1.82K tokens (1819) | latency=1600ms
2026-02-10 16:09:10.746 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1707) | response=146 tokens | total=1.85K tokens (1853) | latency=2423ms
2026-02-10 16:09:14.894 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.69K tokens (1685) | response=84 tokens | total=1.77K tokens (1769) | latency=1422ms
2026-02-10 16:09:16.953 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.65K tokens (1649) | response=112 tokens | total=1.76K tokens (1761) | latency=1743ms
2026-02-10 16:09:18.451 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.70K tokens (1703) | response=111 tokens | total=1.81K tokens (1814) | latency=1470ms
2026-02-10 16:09:20.333 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.67K tokens (1668) | response=115 tokens | total=1.78K tokens (1783) | latency=1446ms
2026-02-10 16:09:33.747 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.69K tokens (1687) | response=131 tokens | total=1.82K tokens (1818) | latency=2657ms
2026-02-10 16:09:48.061 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.26K tokens (2255) | response=96 tokens | total=2.35K tokens (2351) | latency=1607ms
2026-02-10 16:09:49.386 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.44K tokens (2439) | response=91 tokens | total=2.53K tokens (2530) | latency=1316ms
2026-02-10 16:14:36.974 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.15K tokens (1152) | response=79 tokens | total=1.23K tokens (1231) | latency=3919ms
2026-02-10 16:14:42.189 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.24K tokens (1241) | response=125 tokens | total=1.37K tokens (1366) | latency=1585ms
2026-02-10 16:14:49.416 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.38K tokens (1377) | response=148 tokens | total=1.53K tokens (1525) | latency=1823ms
2026-02-10 16:14:55.083 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.50K tokens (1501) | response=53 tokens | total=1.55K tokens (1554) | latency=1119ms
2026-02-10 16:14:56.912 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.57K tokens (1566) | response=131 tokens | total=1.70K tokens (1697) | latency=1823ms
2026-02-10 16:15:08.125 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1708) | response=111 tokens | total=1.82K tokens (1819) | latency=1469ms
2026-02-10 16:15:10.053 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1707) | response=146 tokens | total=1.85K tokens (1853) | latency=1888ms
2026-02-10 16:15:14.411 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.69K tokens (1685) | response=84 tokens | total=1.77K tokens (1769) | latency=1405ms
2026-02-10 16:15:16.569 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.65K tokens (1649) | response=112 tokens | total=1.76K tokens (1761) | latency=1816ms
2026-02-10 16:15:17.949 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.70K tokens (1703) | response=111 tokens | total=1.81K tokens (1814) | latency=1359ms
2026-02-10 16:15:19.823 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.67K tokens (1668) | response=115 tokens | total=1.78K tokens (1783) | latency=1486ms
2026-02-10 16:15:30.649 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.69K tokens (1687) | response=131 tokens | total=1.82K tokens (1818) | latency=2700ms
2026-02-10 16:16:02.968 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.96K tokens (1960) | response=185 tokens | total=2.15K tokens (2145) | latency=2231ms
2026-02-10 16:16:06.002 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.96K tokens (1961) | response=178 tokens | total=2.14K tokens (2139) | latency=2836ms
2026-02-10 16:16:37.623 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.21K tokens (2214) | response=55 tokens | total=2.27K tokens (2269) | latency=1489ms
2026-02-10 16:16:49.405 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.77K tokens (2773) | response=44 tokens | total=2.82K tokens (2817) | latency=1447ms
2026-02-10 16:25:11.205 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.24K tokens (1235) | response=90 tokens | total=1.33K tokens (1325) | latency=3980ms
2026-02-10 16:25:15.673 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.32K tokens (1324) | response=58 tokens | total=1.38K tokens (1382) | latency=1148ms
2026-02-10 16:25:17.330 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.39K tokens (1387) | response=87 tokens | total=1.47K tokens (1474) | latency=1633ms
2026-02-10 16:25:20.523 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.50K tokens (1500) | response=88 tokens | total=1.59K tokens (1588) | latency=1330ms
2026-02-10 16:25:26.038 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.60K tokens (1595) | response=110 tokens | total=1.71K tokens (1705) | latency=1460ms
2026-02-10 16:25:27.502 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.66K tokens (1659) | response=98 tokens | total=1.76K tokens (1757) | latency=1456ms
2026-02-10 16:25:37.391 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.69K tokens (1690) | response=33 tokens | total=1.72K tokens (1723) | latency=985ms
2026-02-10 16:25:39.861 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.72K tokens (1717) | response=116 tokens | total=1.83K tokens (1833) | latency=2399ms
2026-02-10 16:25:44.118 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.76K tokens (1756) | response=92 tokens | total=1.85K tokens (1848) | latency=1829ms
2026-02-10 16:25:46.555 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.76K tokens (1755) | response=115 tokens | total=1.87K tokens (1870) | latency=2103ms
2026-02-10 16:25:48.304 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.81K tokens (1809) | response=112 tokens | total=1.92K tokens (1921) | latency=1726ms
2026-02-10 16:25:50.170 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.79K tokens (1785) | response=112 tokens | total=1.90K tokens (1897) | latency=1487ms
2026-02-10 16:25:58.353 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.79K tokens (1790) | response=158 tokens | total=1.95K tokens (1948) | latency=5061ms
2026-02-10 16:26:30.745 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.01K tokens (2009) | response=165 tokens | total=2.17K tokens (2174) | latency=2276ms
2026-02-10 16:26:32.897 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.01K tokens (2010) | response=105 tokens | total=2.12K tokens (2115) | latency=1955ms
2026-02-10 16:26:51.794 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.96K tokens (1956) | response=198 tokens | total=2.15K tokens (2154) | latency=18892ms
2026-02-10 16:26:59.246 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.53K tokens (2526) | response=94 tokens | total=2.62K tokens (2620) | latency=1421ms
2026-02-10 16:27:00.778 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.71K tokens (2706) | response=88 tokens | total=2.79K tokens (2794) | latency=1529ms
2026-02-10 16:30:05.591 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.23K tokens (1233) | response=93 tokens | total=1.33K tokens (1326) | latency=4098ms
2026-02-10 16:30:09.706 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.32K tokens (1323) | response=64 tokens | total=1.39K tokens (1387) | latency=1249ms
2026-02-10 16:30:11.718 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.39K tokens (1385) | response=111 tokens | total=1.50K tokens (1496) | latency=1994ms
2026-02-10 16:30:13.708 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.52K tokens (1515) | response=111 tokens | total=1.63K tokens (1626) | latency=1579ms
2026-02-10 16:30:20.395 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.63K tokens (1634) | response=20 tokens | total=1.65K tokens (1654) | latency=1586ms
2026-02-10 16:30:22.240 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.70K tokens (1698) | response=130 tokens | total=1.83K tokens (1828) | latency=1837ms
2026-02-10 16:30:32.620 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.73K tokens (1729) | response=98 tokens | total=1.83K tokens (1827) | latency=1446ms
2026-02-10 16:30:35.202 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.76K tokens (1756) | response=150 tokens | total=1.91K tokens (1906) | latency=2526ms
2026-02-10 16:30:39.525 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.78K tokens (1777) | response=104 tokens | total=1.88K tokens (1881) | latency=1820ms
2026-02-10 16:30:42.075 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.79K tokens (1785) | response=158 tokens | total=1.94K tokens (1943) | latency=2239ms
2026-02-10 16:31:16.405 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.17K tokens (2174) | response=179 tokens | total=2.35K tokens (2353) | latency=4227ms
2026-02-10 16:31:18.089 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.17K tokens (2172) | response=111 tokens | total=2.28K tokens (2283) | latency=1669ms
2026-02-10 16:31:20.417 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.17K tokens (2174) | response=122 tokens | total=2.30K tokens (2296) | latency=1857ms
2026-02-10 16:31:27.048 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.11K tokens (2110) | response=119 tokens | total=2.23K tokens (2229) | latency=3024ms
2026-02-10 16:31:28.971 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.05K tokens (2049) | response=92 tokens | total=2.14K tokens (2141) | latency=1914ms
2026-02-10 16:32:01.431 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.97K tokens (1967) | response=133 tokens | total=2.10K tokens (2100) | latency=2260ms
2026-02-10 16:32:37.242 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=7.48K tokens (7477) | response=132 tokens | total=7.61K tokens (7609) | latency=5615ms
2026-02-10 16:33:29.868 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.39K tokens (1385) | response=98 tokens | total=1.48K tokens (1483) | latency=4105ms
2026-02-10 16:33:33.947 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.47K tokens (1474) | response=64 tokens | total=1.54K tokens (1538) | latency=1258ms
2026-02-10 16:33:35.989 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.54K tokens (1536) | response=142 tokens | total=1.68K tokens (1678) | latency=2024ms
2026-02-10 16:33:39.359 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.67K tokens (1667) | response=116 tokens | total=1.78K tokens (1783) | latency=1529ms
2026-02-10 16:33:45.932 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.79K tokens (1785) | response=94 tokens | total=1.88K tokens (1879) | latency=1449ms
2026-02-10 16:33:47.910 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.85K tokens (1849) | response=120 tokens | total=1.97K tokens (1969) | latency=1972ms
2026-02-10 16:33:58.706 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.90K tokens (1902) | response=93 tokens | total=2.00K tokens (1995) | latency=1346ms
2026-02-10 16:34:01.471 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.93K tokens (1929) | response=118 tokens | total=2.05K tokens (2047) | latency=2728ms
2026-02-10 16:34:05.122 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.91K tokens (1911) | response=104 tokens | total=2.02K tokens (2015) | latency=1595ms
2026-02-10 16:34:07.580 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.92K tokens (1919) | response=120 tokens | total=2.04K tokens (2039) | latency=2115ms
2026-02-10 16:34:09.235 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.97K tokens (1973) | response=106 tokens | total=2.08K tokens (2079) | latency=1633ms
2026-02-10 16:34:11.197 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.96K tokens (1959) | response=119 tokens | total=2.08K tokens (2078) | latency=1564ms
2026-02-10 16:34:18.674 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.96K tokens (1958) | response=109 tokens | total=2.07K tokens (2067) | latency=4365ms
2026-02-10 16:34:20.221 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.91K tokens (1909) | response=125 tokens | total=2.03K tokens (2034) | latency=1535ms
2026-02-10 16:34:43.715 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.87K tokens (1873) | response=113 tokens | total=1.99K tokens (1986) | latency=1650ms
2026-02-10 16:34:45.464 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.87K tokens (1869) | response=111 tokens | total=1.98K tokens (1980) | latency=1631ms
2026-02-10 16:35:17.493 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.11K tokens (2109) | response=121 tokens | total=2.23K tokens (2230) | latency=1756ms
2026-02-10 16:36:09.906 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.39K tokens (2387) | response=104 tokens | total=2.49K tokens (2491) | latency=22255ms
2026-02-10 16:36:11.555 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.42K tokens (2419) | response=104 tokens | total=2.52K tokens (2523) | latency=1616ms
2026-02-10 16:36:13.623 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.43K tokens (2432) | response=133 tokens | total=2.57K tokens (2565) | latency=2007ms
2026-02-10 16:36:15.680 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.43K tokens (2429) | response=109 tokens | total=2.54K tokens (2538) | latency=1973ms
2026-02-10 16:37:29.863 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.39K tokens (1386) | response=100 tokens | total=1.49K tokens (1486) | latency=3921ms
2026-02-10 16:37:37.203 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.48K tokens (1476) | response=64 tokens | total=1.54K tokens (1540) | latency=1109ms
2026-02-10 16:37:39.222 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.54K tokens (1538) | response=112 tokens | total=1.65K tokens (1650) | latency=2004ms
2026-02-10 16:37:42.405 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.67K tokens (1668) | response=91 tokens | total=1.76K tokens (1759) | latency=1387ms
2026-02-10 16:37:48.235 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.77K tokens (1769) | response=76 tokens | total=1.85K tokens (1845) | latency=1274ms
2026-02-10 16:37:50.277 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.83K tokens (1834) | response=98 tokens | total=1.93K tokens (1932) | latency=2034ms
2026-02-10 16:37:59.646 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.87K tokens (1865) | response=73 tokens | total=1.94K tokens (1938) | latency=1180ms
2026-02-10 16:38:01.587 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.89K tokens (1891) | response=126 tokens | total=2.02K tokens (2017) | latency=1889ms
2026-02-10 16:38:06.329 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.89K tokens (1894) | response=75 tokens | total=1.97K tokens (1969) | latency=1480ms
2026-02-10 16:38:08.782 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.88K tokens (1882) | response=129 tokens | total=2.01K tokens (2011) | latency=2128ms
2026-02-10 16:38:10.087 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.94K tokens (1936) | response=82 tokens | total=2.02K tokens (2018) | latency=1282ms
2026-02-10 16:38:11.837 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.91K tokens (1912) | response=107 tokens | total=2.02K tokens (2019) | latency=1385ms
2026-02-10 16:38:20.023 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.92K tokens (1917) | response=110 tokens | total=2.03K tokens (2027) | latency=4004ms
2026-02-10 16:38:28.310 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.85K tokens (1848) | response=167 tokens | total=2.02K tokens (2015) | latency=8279ms
2026-02-10 16:39:01.992 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.13K tokens (2129) | response=119 tokens | total=2.25K tokens (2248) | latency=3467ms
2026-02-10 16:39:03.858 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.11K tokens (2106) | response=112 tokens | total=2.22K tokens (2218) | latency=1718ms
2026-02-10 16:39:05.843 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.10K tokens (2104) | response=109 tokens | total=2.21K tokens (2213) | latency=1832ms
2026-02-10 16:39:37.917 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.37K tokens (2366) | response=110 tokens | total=2.48K tokens (2476) | latency=1822ms
2026-02-10 16:40:13.503 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.67K tokens (2668) | response=118 tokens | total=2.79K tokens (2786) | latency=5380ms
2026-02-10 16:40:17.089 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.36K tokens (2362) | response=160 tokens | total=2.52K tokens (2522) | latency=3566ms
2026-02-10 16:40:18.552 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.54K tokens (2539) | response=96 tokens | total=2.64K tokens (2635) | latency=1459ms
2026-02-10 16:40:19.975 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.72K tokens (2718) | response=93 tokens | total=2.81K tokens (2811) | latency=1420ms
2026-02-10 16:41:08.279 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.39K tokens (1386) | response=100 tokens | total=1.49K tokens (1486) | latency=4417ms
2026-02-10 16:41:12.284 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.48K tokens (1476) | response=64 tokens | total=1.54K tokens (1540) | latency=1054ms
2026-02-10 16:41:14.171 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.54K tokens (1538) | response=112 tokens | total=1.65K tokens (1650) | latency=1866ms
2026-02-10 16:41:16.586 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.67K tokens (1668) | response=91 tokens | total=1.76K tokens (1759) | latency=1310ms
2026-02-10 16:41:23.413 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.77K tokens (1769) | response=76 tokens | total=1.85K tokens (1845) | latency=1242ms
2026-02-10 16:41:24.815 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.83K tokens (1834) | response=98 tokens | total=1.93K tokens (1932) | latency=1395ms
